date,event,home,away,predictedWinner,actualWinner,winner_correct,predictedSpread,casinoSpread,casinoFavoredTeamName,predictedTotal,casinoTotal,kalshi_pick_close,kalshi_opp_close,kalshi_pick_result
2026-06-03,KXMLBGAME-26JUN031305MIAWSH,Washington Nationals,Miami Marlins,Miami Marlins,Miami Marlins,1,-4,1.5,Miami Marlins,6,8,0.505,0.495,yes
2026-06-02,KXMLBGAME-26JUN022140LADAZ,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,Los Angeles Dodgers,0,1,1.5,Los Angeles Dodgers,11,9,0.475,0.525,no
2026-06-02,KXMLBGAME-26JUN022138COLLAA,Los Angeles Angels,Colorado Rockies,Colorado Rockies,Colorado Rockies,1,-5,-1.5,Los Angeles Angels,9,8.5,0.415,0.595,yes
2026-06-02,KXMLBGAME-26JUN022140NYMSEA,Seattle Mariners,New York Mets,Seattle Mariners,Seattle Mariners,1,1,-1.5,Seattle Mariners,7,7.5,0.585,0.425,yes
2026-06-02,KXMLBGAME-26JUN022010PITHOU,Houston Astros,Pittsburgh Pirates,Pittsburgh Pirates,Pittsburgh Pirates,1,-2,1.5,Pittsburgh Pirates,10,9,0.485,0.515,yes
2026-06-02,KXMLBGAME-26JUN022005ATHCHC,Chicago Cubs,Oakland Athletics,Chicago Cubs,Oakland Athletics,0,4,-1.5,Chicago Cubs,14,7.5,0.535,0.46499999999999997,no
2026-06-02,KXMLBGAME-26JUN021945TEXSTL,St. Louis Cardinals,Texas Rangers,Texas Rangers,Texas Rangers,1,-1,1.5,Texas Rangers,5,7,0.505,0.495,yes
2026-06-02,KXMLBGAME-26JUN021940SFMIL,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,1,2,-1.5,Milwaukee Brewers,6,7,0.695,0.305,yes
2026-06-02,KXMLBGAME-26JUN021940CWSMIN,Minnesota Twins,Chicago White Sox,Chicago White Sox,Minnesota Twins,0,-1,1.5,Chicago White Sox,7,8,0.535,0.46499999999999997,no
2026-06-02,KXMLBGAME-26JUN021905CLENYY,New York Yankees,Cleveland Guardians,New York Yankees,Cleveland Guardians,0,1,-1.5,New York Yankees,5,7.5,0.645,0.355,no
2026-06-02,KXMLBGAME-26JUN021910KCCIN,Cincinnati Reds,Kansas City Royals,Cincinnati Reds,Cincinnati Reds,1,1,-1.5,Cincinnati Reds,9,9,0.535,0.46499999999999997,yes
2026-06-02,KXMLBGAME-26JUN021915TORATL,Atlanta Braves,Toronto Blue Jays,Atlanta Braves,Atlanta Braves,1,1,1.5,Toronto Blue Jays,5,7.5,0.515,0.485,yes
2026-06-02,KXMLBGAME-26JUN021840DETTB,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,Detroit Tigers,0,2,-1.5,Tampa Bay Rays,8,8,0.565,0.435,no
2026-06-02,KXMLBGAME-26JUN021845MIAWSH,Washington Nationals,Miami Marlins,Miami Marlins,Miami Marlins,1,-3,1.5,Miami Marlins,7,9,0.485,0.515,yes
2026-06-02,KXMLBGAME-26JUN021840SDPHI,Philadelphia Phillies,San Diego Padres,San Diego Padres,Philadelphia Phillies,0,-3,-1.5,Philadelphia Phillies,9,8,0.415,0.585,no
2026-06-02,KXMLBGAME-26JUN021845BALBOS,Boston Red Sox,Baltimore Orioles,Boston Red Sox,Baltimore Orioles,0,1,-1.5,Boston Red Sox,7,8.5,0.555,0.445,no
2026-06-01,KXMLBGAME-26JUN012138COLLAA,Los Angeles Angels,Colorado Rockies,Los Angeles Angels,Colorado Rockies,0,1,-1.5,Los Angeles Angels,9,8,0.635,0.355,no
2026-06-01,KXMLBGAME-26JUN012140NYMSEA,Seattle Mariners,New York Mets,Seattle Mariners,Seattle Mariners,1,2,-1.5,Seattle Mariners,6,7,0.545,0.455,yes
2026-06-01,KXMLBGAME-26JUN012140LADAZ,Arizona Diamondbacks,Los Angeles Dodgers,Arizona Diamondbacks,Arizona Diamondbacks,1,3,1.5,Los Angeles Dodgers,5,8.5,0.395,0.605,yes
2026-06-01,KXMLBGAME-26JUN011940CWSMIN,Minnesota Twins,Chicago White Sox,Chicago White Sox,Minnesota Twins,0,-1,-1.5,Minnesota Twins,5,8,0.435,0.565,no
2026-06-01,KXMLBGAME-26JUN011945TEXSTL,St. Louis Cardinals,Texas Rangers,Texas Rangers,Texas Rangers,1,-1,1.5,Texas Rangers,5,7.5,0.545,0.46499999999999997,yes
2026-06-01,KXMLBGAME-26JUN011940SFMIL,Milwaukee Brewers,San Francisco Giants,Milwaukee Brewers,Milwaukee Brewers,1,2,-1.5,Milwaukee Brewers,6,7.5,0.595,0.405,yes
2026-06-01,KXMLBGAME-26JUN011910KCCIN,Cincinnati Reds,Kansas City Royals,Cincinnati Reds,Kansas City Royals,0,1,-1.5,Cincinnati Reds,13,9.5,0.555,0.445,no
2026-06-01,KXMLBGAME-26JUN011840DETTB,Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays,Detroit Tigers,0,1,-1.5,Tampa Bay Rays,3,8,0.605,0.405,no
2026-06-01,KXMLBGAME-26JUN011845MIAWSH,Washington Nationals,Miami Marlins,Washington Nationals,Miami Marlins,0,1,-1.5,Washington Nationals,5,8,0.565,0.435,no
2026-05-31,KXMLBGAME-26MAY311920CHCSTL,St. Louis Cardinals,Chicago Cubs,St. Louis Cardinals,St. Louis Cardinals,1,2,1.5,Chicago Cubs,10,8.5,0.525,0.475,yes
2026-05-31,KXMLBGAME-26MAY311610PHILAD,Los Angeles Dodgers,Philadelphia Phillies,Los Angeles Dodgers,Los Angeles Dodgers,1,2,-1.5,Los Angeles Dodgers,6,9,0.685,0.315,yes
2026-05-31,KXMLBGAME-26MAY311605NYYATH,Oakland Athletics,New York Yankees,New York Yankees,New York Yankees,1,-4,1.5,New York Yankees,6,10,0.625,0.375,yes
2026-05-31,KXMLBGAME-26MAY311610AZSEA,Seattle Mariners,Arizona Diamondbacks,Seattle Mariners,Seattle Mariners,1,1,-1.5,Seattle Mariners,7,7.5,0.565,0.435,yes
2026-05-31,KXMLBGAME-26MAY311510SFCOL,Colorado Rockies,San Francisco Giants,San Francisco Giants,San Francisco Giants,1,-3,1.5,San Francisco Giants,9,11,0.505,0.495,yes
2026-05-31,KXMLBGAME-26MAY311435KCTEX,Texas Rangers,Kansas City Royals,Texas Rangers,Texas Rangers,1,2,1.5,Kansas City Royals,6,7.5,0.515,0.495,yes
2026-05-31,KXMLBGAME-26MAY311410MILHOU,Houston Astros,Milwaukee Brewers,Milwaukee Brewers,Milwaukee Brewers,1,-3,1.5,Milwaukee Brewers,7,7.5,0.645,0.355,yes
2026-05-31,KXMLBGAME-26MAY311410DETCWS,Chicago White Sox,Detroit Tigers,Chicago White Sox,Chicago White Sox,1,2,-1.5,Chicago White Sox,8,8,0.555,0.445,yes
2026-05-31,KXMLBGAME-26MAY311340MIANYM,New York Mets,Miami Marlins,Miami Marlins,New York Mets,0,-2,-1.5,New York Mets,4,7.5,0.415,0.585,no
2026-05-31,KXMLBGAME-26MAY311335SDWSH,Washington Nationals,San Diego Padres,Washington Nationals,Washington Nationals,1,3,1.5,San Diego Padres,11,9,0.495,0.505,yes
